date,ticker,d2c,shorts,volume
2025-02-28,CRIS,5.94,142558,23994
2025-03-14,CRIS,4.07,144329,35495
2025-03-31,CRIS,3.67,160635,43729
2025-04-15,CRIS,1.52,205891,135065
2025-04-30,CRIS,1.69,132373,78399
2025-05-15,CRIS,1.0,100987,133089
2025-05-30,CRIS,2.14,123897,57914
2025-06-13,CRIS,1.14,110820,96861
2025-06-30,CRIS,1.83,107728,58793
2025-07-15,CRIS,1.0,206626,302482
2025-07-31,CRIS,2.81,192060,68313
2025-08-15,CRIS,2.9,171647,59116
2025-08-29,CRIS,1.95,153298,78521
2025-09-15,CRIS,2.06,150163,73056
2019-02-15,CTRM,1.54,222,144
2019-02-28,CTRM,1.0,73,143
2019-03-15,CTRM,1.0,3053,9878
2019-03-29,CTRM,1.0,41289,863113
2019-04-15,CTRM,1.0,10380,864811
2019-04-30,CTRM,1.0,31342,185349
2019-05-15,CTRM,1.0,2201,63718
2019-05-31,CTRM,1.0,2782,24690
2019-06-14,CTRM,1.0,17583,868260
2019-06-28,CTRM,1.0,9134,55601
2019-07-15,CTRM,1.0,12409,49116
2019-07-31,CTRM,1.0,18843,76981
2019-08-15,CTRM,1.0,10518,32626
2019-08-30,CTRM,1.0,16028,46335
2019-09-13,CTRM,1.0,37790,1145595
2019-09-30,CTRM,1.0,41966,146313
2019-10-15,CTRM,1.0,17724,233153
2019-10-31,CTRM,1.0,69240,575659
2019-11-15,CTRM,1.0,16129,286429
2019-11-29,CTRM,1.0,12938,150499
2019-12-13,CTRM,1.0,15114,72221
2019-12-31,CTRM,1.0,45320,121332
2020-01-15,CTRM,1.0,3083,93384
2020-01-31,CTRM,1.0,6770,105595
2020-02-14,CTRM,1.0,4652,55469
2020-02-28,CTRM,1.0,25736,150436
2020-03-13,CTRM,1.0,12121,2007976
2020-03-31,CTRM,1.0,40283,1807470
2020-04-15,CTRM,1.0,10816,640618
2020-04-30,CTRM,1.0,111647,1774508
2020-05-15,CTRM,1.0,15987,716868
2020-05-29,CTRM,1.0,20850,817236
2020-06-15,CTRM,1.0,24520,2876355
2020-06-30,CTRM,1.0,493517,21132075
2020-07-15,CTRM,1.0,488625,18933601
2020-07-31,CTRM,1.0,378822,15096363
2020-08-14,CTRM,1.0,252834,6211131
2020-08-31,CTRM,1.0,8063,11227732
2020-09-15,CTRM,1.0,636927,12066334
2020-09-30,CTRM,1.0,1000658,5545176
2020-10-15,CTRM,1.0,658372,8947159
2020-10-30,CTRM,1.0,880116,5007985
2020-11-13,CTRM,1.0,1548062,5687925
2020-11-30,CTRM,1.0,805981,15002189
2020-12-15,CTRM,1.0,290866,13457323
2020-12-31,CTRM,1.0,491178,25711606
2021-01-15,CTRM,1.0,25789717,267251715
2021-01-29,CTRM,1.0,35672693,309525993
