date,ticker,close,d2c,shorts,volume,trend_score,news_volume,wiki_views
2022-10-31,AMD,60.06,1.0,32943648,82433793,38.5,45,45474
2022-11-15,AMD,76.37,1.0,38796438,94955975,38.0,62,42267
2022-11-30,AMD,77.63,1.0,30653701,63554456,40.0,29,38811
2022-12-15,AMD,66.53,1.0,33179654,60895486,37.0,34,31161
2022-12-30,AMD,64.77,1.0,32342921,47894465,37.5,25,15556
2023-01-13,AMD,71.0,1.0,31116086,53483817,36.0,35,7462
2023-01-31,AMD,75.15,1.0,30319349,54449473,38.5,59,8801
2023-02-15,AMD,85.18,1.0,31495240,66589766,35.0,48,4961
2023-02-28,AMD,78.58,1.0,34227434,51543406,34.5,30,3874
2023-03-15,AMD,89.68,1.0,34984812,65544557,34.5,30,5848
2023-03-31,AMD,98.01,1.0,35253606,77805593,35.5,51,5652
2023-04-14,AMD,91.75,1.0,29840045,47948575,33.5,44,4321
2023-04-28,AMD,89.37,1.0,27721747,46321177,35.5,31,5492
2023-05-15,AMD,97.4,1.0,33486011,78378292,39.5,89,4674
2023-05-31,AMD,118.21,1.0,36497332,81768504,44.0,70,5332
2023-06-15,AMD,124.24,1.0,39525360,78840169,41.5,72,4392
2023-06-30,AMD,113.91,1.0,34627459,67455445,41.0,67,4390
2023-07-14,AMD,115.94,1.0,29535487,52098631,42.0,37,3594
2023-07-31,AMD,114.4,1.0,25040006,61109877,45.5,65,4290
2023-08-15,AMD,111.35,1.0,28845067,76910574,41.5,95,4446
2023-08-31,AMD,105.72,1.0,28178520,60706874,42.5,73,4171
2023-09-15,AMD,101.49,1.0,30062210,52021594,39.5,38,3843
2023-09-29,AMD,102.82,1.0,28964119,52321388,38.5,43,3550
2023-10-13,AMD,105.09,1.0,31516655,52228206,37.5,48,3246
2023-10-31,AMD,98.5,1.0,31511742,53196929,41.5,64,4429
2023-11-15,AMD,118.0,1.0,40903051,65193369,41.0,72,4221
2023-11-30,AMD,121.16,1.13,44739272,39425935,44.5,56,4161
2023-12-15,AMD,139.15,1.0,53651072,73515091,46.0,99,4388
2023-12-29,AMD,147.41,1.0,49153022,51851451,42.5,44,3644
2024-01-12,AMD,146.56,1.0,45244379,62269037,43.5,59,3734
2024-01-31,AMD,167.69,1.0,39854821,115588510,57.0,173,5127
2024-02-15,AMD,176.76,1.0,38531570,63491148,48.0,81,4901
2024-02-29,AMD,192.53,1.0,34379955,63059697,51.5,60,8552
2024-03-15,AMD,191.06,1.0,38544178,83216832,51.0,86,6293
2024-03-28,AMD,180.49,1.0,32846511,67294199,49.0,77,5420
2024-04-15,AMD,160.32,1.0,32304929,59762708,43.0,92,5110
2024-04-30,AMD,158.38,1.0,32540263,52680707,46.0,114,4489
2024-05-15,AMD,159.67,1.0,34802025,42761091,43.0,72,4590
2024-05-31,AMD,166.9,1.0,38854704,58482211,45.5,83,4163
2024-06-14,AMD,159.63,1.0,41761386,49195332,47.5,88,4632
2024-06-28,AMD,162.21,1.0,41616896,51334018,45.0,61,4006
2024-07-15,AMD,179.83,1.0,46204114,54071256,48.5,79,3693
2024-07-31,AMD,144.48,1.0,43316162,57958258,54.0,122,3919
2024-08-15,AMD,147.36,1.0,48226352,55958872,50.0,80,4546
2024-08-30,AMD,148.56,1.15,50212398,43691253,49.5,81,5075
2024-09-13,AMD,152.31,1.32,46399604,35222305,43.5,33,4483
2024-09-30,AMD,164.08,1.45,44605073,30856949,43.0,38,5041
2024-10-15,AMD,156.64,1.2,47405570,39571533,44.0,112,4360
2024-10-31,AMD,144.07,1.49,57100812,38321013,51.0,114,5581
2024-11-15,AMD,134.9,1.51,49389555,32626054,49.0,56,5224
2024-11-29,AMD,137.18,1.62,45029617,27779304,55.0,36,4609
2024-12-13,AMD,126.91,1.34,51636463,38658641,58.0,61,6021
2024-12-31,AMD,120.79,1.54,59401477,38587213,56.5,81,6259
2025-01-15,AMD,119.96,1.41,58914070,41770258,58.0,84,6537
2025-01-31,AMD,115.95,1.32,47802951,36329131,55.5,86,6422
2025-02-14,AMD,113.1,1.11,52797087,47701092,60.5,131,4438
2025-02-28,AMD,99.86,1.61,56779479,35237402,57.5,43,4607
2025-03-14,AMD,100.97,1.64,55850273,34151730,62.0,58,5601
2025-03-31,AMD,102.74,1.35,46106164,34155414,51.0,53,6541
2025-04-15,AMD,95.29,1.0,44440539,52846077,50.5,55,4894
2025-04-30,AMD,97.35,1.18,40942603,34698882,48.5,76,4839
2025-05-15,AMD,114.99,1.0,48465479,50959178,54.0,157,4732
2025-05-30,AMD,110.73,1.15,39672775,34432722,51.0,83,4082
2025-06-13,AMD,116.16,1.09,41007282,37488845,52.5,64,3214
2025-06-30,AMD,141.9,1.0,48818299,69449339,55.5,110,3846
2025-07-15,AMD,155.61,1.0,44717085,48014470,62.0,67,5435
2025-07-31,AMD,176.31,1.0,42120268,58308936,72.0,91,6340
2025-08-15,AMD,177.51,1.0,47900122,78160904,76.5,202,5308
2025-08-29,AMD,162.63,1.0,39165658,43968417,56.0,62,4495
